6,16983,0
10,11888,0
10,14584,5
10,15957,0
131,17405,0
134,6243,0
188,12365,0
368,16002,0
424,15997,0
477,12080,0
491,7233,0
508,15929,0
527,1046,0
596,15294,0
657,15886,0
685,6268,0
685,17560,0
766,1144,0
766,9685,0
769,3972,0
769,13248,0
844,629,0
930,8229,0
933,10280,0
981,6810,0
1044,3104,0
1050,10934,0
1069,2101,0
1069,17405,0
1268,12473,5
1271,5181,0
1311,4736,0
1385,10090,0
1409,14724,0
1409,16912,0
1427,14593,0
1462,8480,0
1462,13567,0
1462,16361,0
1500,11607,0
1523,6874,0
1523,9762,0
1590,4013,0
1664,4951,0
1689,9596,0
1726,16063,0
1830,17699,0
1922,12999,0
2000,5318,0
2119,6014,0
2157,2595,0
2279,2372,0
2280,96,0
2280,4705,3
2280,16259,0
2282,15885,0
2305,6037,0
2305,15818,0
2442,290,0
2458,2913,3
2475,8677,0
2508,16707,0
2518,3826,0
2518,4985,0
2662,732,0
2724,11089,0
2724,14725,0
2746,17687,0
2794,13275,0
2807,534,0
2882,5477,0
2892,3197,0
2905,13255,0
2947,10236,0
2947,16265,0
2960,5730,0
2975,4663,0
2977,5532,0
2977,6296,0
3010,7828,0
3018,8178,0
3096,14961,0
3096,16930,0
3204,52,0
3247,886,0
3300,3159,0
3300,12246,0
3330,14545,0
3354,4671,0
3363,7219,0
3363,11987,0
3378,16082,0
3406,12071,0
3424,12933,0
3460,8585,0
3501,197,0
3501,2152,0
3521,14725,0
3604,4692,0
3604,13058,0
3679,4745,0
3743,4419,0
3764,3153,0
3767,4520,0
3788,937,0
3788,1364,0
3788,6268,0
3894,10695,0
3902,10421,0
4127,325,0
4127,11414,0
4212,2194,0
4244,6254,0
4294,16128,4
4300,5922,0
4314,16303,0
4315,17212,0
4326,6860,0
4433,7390,0
4545,16171,0
4597,7928,0
4605,4472,0
4606,7233,4
4606,12473,0
4667,4007,0
4679,14436,0
4679,14545,5
4704,3106,3
4704,4043,2
4704,15646,0
4706,13707,0
4753,14678,0
4873,13580,0
4905,9959,0
4981,11662,0
4981,17308,0
4983,13087,0
4991,7217,0
5022,16357,0
